Golfer,rounds,avedist,pctfrwy,pctgrn,aveputt,avesand,pctsndsv,przrnd
Audra Burks,34,239.2,68.6,60.5,23.91,0.824,39.3,1160
Nicole Perrot,31,243,59.2,53.7,23.06,1.419,38.6,979
Nicole Castrale,87,245.7,71.5,67,24.16,0.425,32.4,6116
Lisa Strom,38,261.5,62.7,62.1,27.37,0.921,40,441
Giulia Sergas,93,255.9,71.7,65.9,24.16,0.796,36.5,4490
Siew-Ai Lim,31,239.6,62.7,60.6,21.64,1.71,35.8,272
Heather Young,79,251,67.5,63,25.54,0.734,34.5,2383
Ai Miyazato,77,243.2,67,62.1,25.49,0.844,52.3,5335
Cristie Kerr,93,254.6,66.9,67.9,25.05,0.903,32.1,11831
Jimin Kang,96,246.5,71.2,63.7,24.15,0.875,46.4,3889
Michele Redman,70,243.6,71.9,65.4,29.53,0.914,42.2,3356
Sophie Giquel,59,243,78.8,63.1,28.39,1.136,38.8,1442
Janice Moodie,83,253.6,64.3,62.4,22.98,0.819,42.6,2567
Michelle Ellis,55,242.1,73.3,65,26.47,0.745,29.3,1721
Patricia Meunier-Lebouc,48,239.9,61.9,59.1,30.1,1,45.8,461
Shanshan Feng,73,261.2,67,66.9,24.3,0.726,30.2,6359
Seon Hwa Lee,102,243,70,67.8,24.8,0.549,32.1,11445
Michelle McGann,51,255.7,53.9,60.6,28.86,0.941,29.2,407
In-Kyung Kim,88,243.3,68.4,62.7,21.36,0.716,47.6,8636
Sherri Turner,53,255.3,70.8,66.7,30.98,1.038,34.5,1645
Allison Hanna-Williams,43,228.1,70.4,59,26,0.86,51.4,894
Louise Friberg,73,244.9,72.4,65.1,24.44,0.808,39,5412
Angela Park,92,244,69,64.7,24.04,0.848,37.2,9303
Diana D'Alessio,89,244.8,69.9,62.5,24.73,0.708,25.4,2646
Ashleigh Simon,37,244.4,66,59.9,22.27,0.757,25,549
Su A Kim,59,237.7,72,57.6,28.12,0.864,35.3,945
Jennifer Rosales,58,246.1,74.9,67,30.59,1.172,36.8,2210
Young-A Yang,53,245.3,66.2,62,26.12,0.415,50,1298
Marisa Baena,56,254.2,64.8,60.9,27.12,1.179,33.3,2119
Maria Hjorth,77,266.2,59.9,63.8,25.13,0.805,40.3,7531
Kimberly Hall,71,233.7,77.7,64,26.03,0.859,47.5,2468
Il Mi Chung,89,242.6,64.7,63,25.3,0.843,29.3,2478
Mollie Fankhauser-Cavanaugh,56,244.9,73.5,65.4,29.25,0.857,41.7,1882
