"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"29 years"	"29"	15	387221	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"31 years"	"31"	13	378749	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"32 years"	"32"	11	376439	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"33 years"	"33"	11	375079	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"34 years"	"34"	10	360753	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"35 years"	"35"	11	363504	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"36 years"	"36"	21	362289	5.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"37 years"	"37"	18	355860	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"38 years"	"38"	16	363193	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"39 years"	"39"	24	345128	7.0
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"40 years"	"40"	26	337937	7.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"41 years"	"41"	26	334163	7.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"42 years"	"42"	21	326125	6.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"43 years"	"43"	28	336986	8.3
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"44 years"	"44"	30	328208	9.1
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"45 years"	"45"	40	335708	11.9
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"46 years"	"46"	40	354035	11.3
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"47 years"	"47"	45	380709	11.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"48 years"	"48"	49	390649	12.5
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"49 years"	"49"	55	376529	14.6
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"50 years"	"50"	57	374554	15.2
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"51 years"	"51"	65	380955	17.1
