"","Notes","Year","Year.Code","Gender","Gender.Code","Census.Region","Census.Region.Code","Single.Year.Ages","Single.Year.Ages.Code","Single.Race.6","Single.Race.6.Code","Deaths","Population","Crude.Rate"
"1","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","29 years",29,"White","2106-3",14,"274782","Unreliable"
"2","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","31 years",31,"White","2106-3",12,"273836","Unreliable"
"3","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","32 years",32,"White","2106-3",11,"272897","Unreliable"
"4","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","36 years",36,"White","2106-3",17,"263430","Unreliable"
"5","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","37 years",37,"White","2106-3",16,"259019","Unreliable"
"6","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","38 years",38,"White","2106-3",14,"263298","Unreliable"
"7","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","39 years",39,"White","2106-3",22,"250404","8.8"
"8","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","40 years",40,"White","2106-3",22,"246219","8.9"
"9","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","41 years",41,"White","2106-3",22,"243082","9.1"
"10","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","42 years",42,"White","2106-3",19,"237412","Unreliable"
"11","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","43 years",43,"White","2106-3",20,"247357","8.1"
"12","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","44 years",44,"White","2106-3",24,"241732","9.9"
"13","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","45 years",45,"White","2106-3",38,"248138","15.3"
"14","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","46 years",46,"White","2106-3",34,"265017","12.8"
"15","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","47 years",47,"White","2106-3",39,"288881","13.5"
"16","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","48 years",48,"White","2106-3",42,"297467","14.1"
"17","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","49 years",49,"White","2106-3",50,"288859","17.3"
"18","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","50 years",50,"White","2106-3",50,"287867","17.4"
"19","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","51 years",51,"White","2106-3",55,"296646","18.5"
"20","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","52 years",52,"Black or African American","2054-5",17,"52881","Unreliable"
"21","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","52 years",52,"White","2106-3",74,"304336","24.3"
"22","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","53 years",53,"White","2106-3",63,"323015","19.5"
"23","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","54 years",54,"Black or African American","2054-5",10,"54650","Unreliable"
"24","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","54 years",54,"White","2106-3",78,"329530","23.7"
"25","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","55 years",55,"Black or African American","2054-5",10,"53679","Unreliable"
"26","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","55 years",55,"White","2106-3",92,"327521","28.1"
"27","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","56 years",56,"Black or African American","2054-5",16,"51752","Unreliable"
"28","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","56 years",56,"White","2106-3",87,"329643","26.4"
"29","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","57 years",57,"Black or African American","2054-5",16,"52032","Unreliable"
"30","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","57 years",57,"White","2106-3",115,"336896","34.1"
"31","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","58 years",58,"Black or African American","2054-5",10,"53025","Unreliable"
"32","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","58 years",58,"White","2106-3",109,"336958","32.3"
"33","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","59 years",59,"Black or African American","2054-5",17,"49655","Unreliable"
"34","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","59 years",59,"White","2106-3",90,"331912","27.1"
"35","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","60 years",60,"Black or African American","2054-5",11,"47895","Unreliable"
"36","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","60 years",60,"White","2106-3",116,"330525","35.1"
"37","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","61 years",61,"Black or African American","2054-5",13,"47281","Unreliable"
"38","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","61 years",61,"White","2106-3",105,"325383","32.3"
"39","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","62 years",62,"Black or African American","2054-5",13,"45076","Unreliable"
"40","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","62 years",62,"White","2106-3",128,"312352","41.0"
"41","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","63 years",63,"Black or African American","2054-5",14,"43045","Unreliable"
"42","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","63 years",63,"White","2106-3",115,"309270","37.2"
"43","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","64 years",64,"Black or African American","2054-5",10,"39586","Unreliable"
"44","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","64 years",64,"White","2106-3",120,"296562","40.5"
"45","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","65 years",65,"Black or African American","2054-5",11,"37189","Unreliable"
"46","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","65 years",65,"White","2106-3",115,"285687","40.3"
"47","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","66 years",66,"Black or African American","2054-5",20,"35084","57.0"
"48","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","66 years",66,"White","2106-3",107,"274206","39.0"
"49","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","67 years",67,"Black or African American","2054-5",14,"34836","Unreliable"
"50","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","67 years",67,"White","2106-3",124,"264645","46.9"
"51","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","68 years",68,"Black or African American","2054-5",13,"34377","Unreliable"
"52","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","68 years",68,"White","2106-3",106,"255965","41.4"
"53","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","69 years",69,"Black or African American","2054-5",13,"31719","Unreliable"
"54","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","69 years",69,"White","2106-3",139,"250733","55.4"
"55","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","70 years",70,"Black or African American","2054-5",18,"30226","Unreliable"
"56","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","70 years",70,"White","2106-3",170,"251328","67.6"
"57","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","71 years",71,"Black or African American","2054-5",14,"29023","Unreliable"
"58","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","71 years",71,"White","2106-3",165,"266704","61.9"
"59","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","72 years",72,"White","2106-3",140,"192488","72.7"
"60","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","73 years",73,"Black or African American","2054-5",14,"24460","Unreliable"
"61","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","73 years",73,"White","2106-3",155,"187794","82.5"
"62","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","74 years",74,"Black or African American","2054-5",18,"22931","Unreliable"
"63","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","74 years",74,"White","2106-3",170,"184478","92.2"
"64","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","75 years",75,"Black or African American","2054-5",10,"22650","Unreliable"
"65","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","75 years",75,"White","2106-3",173,"195235","88.6"
"66","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","76 years",76,"Black or African American","2054-5",22,"20300","108.4"
"67","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","76 years",76,"White","2106-3",149,"167625","88.9"
"68","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","77 years",77,"Black or African American","2054-5",10,"19084","Unreliable"
"69","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","77 years",77,"White","2106-3",175,"150081","116.6"
"70","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","78 years",78,"Black or African American","2054-5",12,"18550","Unreliable"
"71","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","78 years",78,"White","2106-3",164,"141408","116.0"
"72","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","79 years",79,"Black or African American","2054-5",10,"16448","Unreliable"
"73","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","79 years",79,"White","2106-3",153,"134055","114.1"
"74","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","80 years",80,"Black or African American","2054-5",15,"15611","Unreliable"
"75","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","80 years",80,"White","2106-3",191,"129862","147.1"
"76","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","81 years",81,"Black or African American","2054-5",20,"14321","139.7"
"77","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","81 years",81,"White","2106-3",194,"120279","161.3"
"78","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","82 years",82,"Black or African American","2054-5",16,"13576","Unreliable"
"79","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","82 years",82,"White","2106-3",216,"114640","188.4"
"80","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","83 years",83,"Black or African American","2054-5",13,"12506","Unreliable"
"81","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","83 years",83,"White","2106-3",200,"110270","181.4"
"82","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","84 years",84,"Black or African American","2054-5",12,"11045","Unreliable"
"83","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","84 years",84,"White","2106-3",199,"98488","202.1"
"84","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","85 years",85,"Black or African American","2054-5",23,"Not Applicable","Not Applicable"
"85","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","85 years",85,"White","2106-3",206,"Not Applicable","Not Applicable"
"86","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","86 years",86,"Black or African American","2054-5",11,"Not Applicable","Not Applicable"
"87","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","86 years",86,"White","2106-3",216,"Not Applicable","Not Applicable"
"88","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","87 years",87,"Black or African American","2054-5",20,"Not Applicable","Not Applicable"
"89","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","87 years",87,"White","2106-3",248,"Not Applicable","Not Applicable"
"90","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","88 years",88,"Black or African American","2054-5",15,"Not Applicable","Not Applicable"
"91","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","88 years",88,"White","2106-3",261,"Not Applicable","Not Applicable"
"92","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","89 years",89,"Black or African American","2054-5",10,"Not Applicable","Not Applicable"
"93","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","89 years",89,"White","2106-3",254,"Not Applicable","Not Applicable"
"94","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","90 years",90,"Black or African American","2054-5",19,"Not Applicable","Not Applicable"
"95","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","90 years",90,"White","2106-3",244,"Not Applicable","Not Applicable"
"96","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","91 years",91,"Black or African American","2054-5",12,"Not Applicable","Not Applicable"
"97","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","91 years",91,"White","2106-3",207,"Not Applicable","Not Applicable"
"98","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","92 years",92,"White","2106-3",202,"Not Applicable","Not Applicable"
"99","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","93 years",93,"Black or African American","2054-5",13,"Not Applicable","Not Applicable"
"100","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","93 years",93,"White","2106-3",198,"Not Applicable","Not Applicable"
"101","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","94 years",94,"White","2106-3",181,"Not Applicable","Not Applicable"
"102","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","95 years",95,"White","2106-3",170,"Not Applicable","Not Applicable"
"103","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","96 years",96,"White","2106-3",136,"Not Applicable","Not Applicable"
"104","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","97 years",97,"White","2106-3",107,"Not Applicable","Not Applicable"
"105","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","98 years",98,"White","2106-3",76,"Not Applicable","Not Applicable"
"106","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","99 years",99,"White","2106-3",51,"Not Applicable","Not Applicable"
"107","",2018,2018,"Female","F","Census Region 1: Northeast","CENS-R1","100+ years",100,"White","2106-3",109,"Not Applicable","Not Applicable"
"108","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","29 years",29,"White","2106-3",17,"343791","Unreliable"
"109","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","30 years",30,"White","2106-3",24,"340536","7.0"
"110","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","31 years",31,"White","2106-3",16,"339314","Unreliable"
"111","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","32 years",32,"White","2106-3",17,"348243","Unreliable"
"112","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","33 years",33,"White","2106-3",17,"355886","Unreliable"
"113","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","34 years",34,"White","2106-3",18,"346872","Unreliable"
"114","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","35 years",35,"White","2106-3",25,"354409","7.1"
"115","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","36 years",36,"White","2106-3",30,"356812","8.4"
"116","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","37 years",37,"White","2106-3",22,"355663","6.2"
"117","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","38 years",38,"White","2106-3",29,"359923","8.1"
"118","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","39 years",39,"White","2106-3",29,"339793","8.5"
"119","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","40 years",40,"White","2106-3",35,"331790","10.5"
"120","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","41 years",41,"White","2106-3",37,"326819","11.3"
"121","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","42 years",42,"White","2106-3",38,"315392","12.0"
"122","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","43 years",43,"White","2106-3",45,"324476","13.9"
"123","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","44 years",44,"Black or African American","2054-5",12,"44629","Unreliable"
"124","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","44 years",44,"White","2106-3",41,"314285","13.0"
"125","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","45 years",45,"Black or African American","2054-5",10,"46592","Unreliable"
"126","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","45 years",45,"White","2106-3",45,"318592","14.1"
"127","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","46 years",46,"Black or African American","2054-5",13,"48575","Unreliable"
"128","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","46 years",46,"White","2106-3",60,"338084","17.7"
"129","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","47 years",47,"Black or African American","2054-5",15,"50052","Unreliable"
"130","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","47 years",47,"White","2106-3",54,"364680","14.8"
"131","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","48 years",48,"White","2106-3",78,"367715","21.2"
"132","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","49 years",49,"Black or African American","2054-5",11,"44161","Unreliable"
"133","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","49 years",49,"White","2106-3",71,"352022","20.2"
"134","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","50 years",50,"White","2106-3",93,"345835","26.9"
"135","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","51 years",51,"White","2106-3",95,"354440","26.8"
"136","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","52 years",52,"Black or African American","2054-5",17,"44390","Unreliable"
"137","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","52 years",52,"White","2106-3",87,"362862","24.0"
"138","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","53 years",53,"Black or African American","2054-5",17,"46455","Unreliable"
"139","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","53 years",53,"White","2106-3",118,"388687","30.4"
"140","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","54 years",54,"Black or African American","2054-5",14,"46240","Unreliable"
"141","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","54 years",54,"White","2106-3",114,"402141","28.3"
"142","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","55 years",55,"Black or African American","2054-5",21,"46057","45.6"
"143","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","55 years",55,"White","2106-3",136,"408553","33.3"
"144","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","56 years",56,"Black or African American","2054-5",13,"46241","Unreliable"
"145","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","56 years",56,"White","2106-3",133,"414369","32.1"
"146","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","57 years",57,"Black or African American","2054-5",20,"47181","42.4"
"147","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","57 years",57,"White","2106-3",137,"425261","32.2"
"148","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","58 years",58,"Black or African American","2054-5",22,"48225","45.6"
"149","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","58 years",58,"White","2106-3",116,"424707","27.3"
"150","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","59 years",59,"Black or African American","2054-5",22,"46680","47.1"
"151","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","59 years",59,"White","2106-3",172,"415732","41.4"
"152","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","60 years",60,"Black or African American","2054-5",26,"45539","57.1"
"153","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","60 years",60,"White","2106-3",179,"417599","42.9"
"154","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","61 years",61,"Black or African American","2054-5",20,"44931","44.5"
"155","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","61 years",61,"White","2106-3",163,"412537","39.5"
"156","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","62 years",62,"Black or African American","2054-5",22,"42655","51.6"
"157","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","62 years",62,"White","2106-3",143,"395957","36.1"
"158","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","63 years",63,"Black or African American","2054-5",17,"41618","Unreliable"
"159","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","63 years",63,"White","2106-3",189,"392255","48.2"
"160","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","64 years",64,"Black or African American","2054-5",27,"39192","68.9"
"161","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","64 years",64,"White","2106-3",153,"377671","40.5"
"162","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","65 years",65,"Black or African American","2054-5",27,"36093","74.8"
"163","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","65 years",65,"White","2106-3",177,"363626","48.7"
"164","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","66 years",66,"Black or African American","2054-5",16,"34638","Unreliable"
"165","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","66 years",66,"White","2106-3",192,"351629","54.6"
"166","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","67 years",67,"Black or African American","2054-5",15,"34145","Unreliable"
"167","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","67 years",67,"White","2106-3",164,"338498","48.4"
"168","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","68 years",68,"Black or African American","2054-5",22,"33110","66.4"
"169","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","68 years",68,"White","2106-3",189,"323426","58.4"
"170","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","69 years",69,"Black or African American","2054-5",25,"30681","81.5"
"171","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","69 years",69,"White","2106-3",201,"314697","63.9"
"172","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","70 years",70,"Black or African American","2054-5",20,"29003","69.0"
"173","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","70 years",70,"White","2106-3",228,"308623","73.9"
"174","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","71 years",71,"Black or African American","2054-5",12,"27271","Unreliable"
"175","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","71 years",71,"White","2106-3",206,"324630","63.5"
"176","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","72 years",72,"Black or African American","2054-5",11,"21319","Unreliable"
"177","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","72 years",72,"White","2106-3",197,"230497","85.5"
"178","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","73 years",73,"Black or African American","2054-5",16,"21310","Unreliable"
"179","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","73 years",73,"White","2106-3",191,"226510","84.3"
"180","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","74 years",74,"Black or African American","2054-5",13,"19638","Unreliable"
"181","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","74 years",74,"White","2106-3",203,"225018","90.2"
"182","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","75 years",75,"Black or African American","2054-5",25,"19774","126.4"
"183","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","75 years",75,"White","2106-3",213,"236056","90.2"
"184","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","76 years",76,"Black or African American","2054-5",11,"17693","Unreliable"
"185","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","76 years",76,"White","2106-3",219,"205882","106.4"
"186","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","77 years",77,"Black or African American","2054-5",13,"16411","Unreliable"
"187","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","77 years",77,"White","2106-3",226,"187514","120.5"
"188","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","78 years",78,"Black or African American","2054-5",12,"15426","Unreliable"
"189","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","78 years",78,"White","2106-3",216,"174674","123.7"
"190","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","79 years",79,"Black or African American","2054-5",13,"13701","Unreliable"
"191","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","79 years",79,"White","2106-3",230,"166337","138.3"
"192","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","80 years",80,"Black or African American","2054-5",15,"13297","Unreliable"
"193","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","80 years",80,"White","2106-3",225,"159653","140.9"
"194","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","81 years",81,"Black or African American","2054-5",17,"12074","Unreliable"
"195","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","81 years",81,"White","2106-3",210,"146668","143.2"
"196","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","82 years",82,"Black or African American","2054-5",12,"11800","Unreliable"
"197","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","82 years",82,"White","2106-3",248,"139049","178.4"
"198","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","83 years",83,"Black or African American","2054-5",14,"11078","Unreliable"
"199","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","83 years",83,"White","2106-3",239,"132458","180.4"
"200","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","84 years",84,"Black or African American","2054-5",14,"9782","Unreliable"
"201","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","84 years",84,"White","2106-3",270,"117279","230.2"
"202","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","85 years",85,"Black or African American","2054-5",10,"Not Applicable","Not Applicable"
"203","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","85 years",85,"White","2106-3",262,"Not Applicable","Not Applicable"
"204","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","86 years",86,"Black or African American","2054-5",20,"Not Applicable","Not Applicable"
"205","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","86 years",86,"White","2106-3",288,"Not Applicable","Not Applicable"
"206","",2018,2018,"Female","F","Census Region 2: Midwest","CENS-R2","87 years",87,"Black or African American","2054-5",16,"Not Applicable","Not Applicable"
