DPF engine_size PM_emission
A 16.5 110
A 17.1 140
B 11.4 115
A 8.7 79
A 16 142
B 9.4 91
A 15.2 121
C 13.7 129
A 10.6 110
A 8.9 95
B 10.8 111
A 15.6 127
A 13.1 115
A 7.1 75
A 16.4 130
A 10.7 108
A 10.8 105
A 14.2 124
A 9.5 96
A 14.1 126
A 17.2 134
B 13.6 88
B 14 110
C 7.6 103
A 11.8 114
A 15.5 143
C 13.1 133
B 15.8 100
A 11.4 125
A 14.3 109
B 16.2 117
A 7.9 87
B 17.7 106
C 13.6 119
C 13.2 136
A 7.3 82
A 10.7 104
A 15.1 121
A 13.4 124
C 11.6 114
A 11.4 113
A 12.3 106
B 14.7 117
A 9 98
A 12.3 101
B 13.5 117
A 7.8 91
A 7 94
B 15 121
A 17.6 153
A 12.7 122
B 13.6 100
B 11.6 97
C 14.1 143
B 7.3 100
A 16 118
A 9.8 108
C 10.5 99
A 7.2 88
A 16.4 136
C 12.3 126
B 14.9 109
A 7.7 96
B 7.2 88
A 7.7 77
B 14.6 113
C 16 140
A 11.4 108
B 16.8 124
C 17.1 152
A 13.3 135
A 15.5 125
A 14.1 132
A 8.8 76
A 10.6 81
A 11.4 79
A 7.5 88
C 9.6 116
A 10.9 96
C 17.6 138
