county npat pmedicaid public percinf
21 103486 13 1 0.7
3 119706 19 0 4.5
11 136567 4 1 2.1
21 92679 7 0 1.6
39 255827 3 0 8.3
36 304929 14 0 2.2
5 136196 7 0 1.5
9 128113 13 1 0.8
10 118664 16 1 0.5
9 61518 3 1 0.1
11 172163 1 0 2.5
20 79389 2 0 0.8
20 178183 14 0 2.7
22 278131 5 0 0.1
12 106475 6 0 0.1
21 75639 5 1 2.7
4 277345 4 0 8
16 214951 30 0 1.3
12 143307 8 0 5.8
20 199006 10 0 12.4
26 243934 4 0 2.3
20 100895 16 0 1
23 130698 6 0 0.3
12 192445 2 1 4.2
40 302062 22 0 4.1
5 263092 3 1 2.5
18 310245 21 0 4.1
7 104797 10 0 2.6
20 50028 3 0 3.3
4 109420 3 0 0.3
10 88429 2 0 1.8
16 99942 4 0 5.6
13 159293 9 0 0
32 92186 16 0 2.5
3 119868 3 1 0
40 137671 8 0 1.3
23 174343 4 0 1.8
23 124429 15 0 6.1
12 230986 5 0 2.2
26 334265 2 0 3
12 172936 13 0 1.5
11 128406 5 0 7.6
13 100915 1 0 2.2
25 162215 10 0 0.8
39 244135 5 1 0.9
39 112550 13 0 0.5
38 99329 9 0 0.4
32 250087 11 0 0.7
26 234761 13 0 2.6
36 128772 14 1 1.4
40 263847 13 1 8.9
39 150913 5 1 0.2
22 209529 6 0 7.3
38 162951 6 1 0.1
18 101890 2 1 0.8
36 135537 7 0 3.7
12 162606 7 0 1.6
16 224386 7 1 0.5
39 145242 4 0 3
30 103652 3 0 1.1
9 249097 9 0 4.9
22 195544 8 0 12.8
20 151258 10 0 0
26 102030 13 0 1.6
20 191669 22 0 1.1
20 63481 2 1 6.4
22 119313 4 0 4.6
12 339347 8 0 3.7
13 152868 9 0 3.1
39 31754 4 1 0.2
6 361948 5 0 1.8
38 98241 7 0 0.4
15 403303 5 0 1.8
39 107651 5 1 0
5 160433 7 0 1.5
23 197997 5 0 0.3
19 119918 7 1 5.6
19 115574 8 0 2.4
7 281171 9 0 1.2
17 138372 10 0 4.6
38 265939 20 0 2.9
6 107624 8 0 2
3 204237 4 0 0.7
17 243668 5 0 0.7
38 241469 7 0 0.1
39 89271 8 0 0
10 168679 7 0 5.2
5 118067 19 0 0.2
13 182419 16 0 1
13 147357 9 0 5
40 132341 6 0 1.9
37 54452 2 1 4.6
10 103906 11 0 10.7
35 152390 4 0 3.5
38 188617 3 1 1
3 97044 2 0 0.6
22 422480 17 1 0.4
35 161593 5 1 8.3
9 253642 9 0 6.4
38 328610 12 0 0.8
22 249029 4 0 2.6
26 189114 4 0 2.7
39 143004 6 0 1.7
32 130584 6 1 1.2
26 228322 11 1 0.1
13 197509 11 1 5.2
23 212020 1 1 1.5
13 126163 10 0 0.1
10 102040 10 0 0.4
5 233223 4 0 1.6
38 132487 9 0 0.3
6 207938 3 0 0.4
16 194576 5 1 0.8
5 297039 17 1 4.2
6 224038 14 0 1.6
21 251250 10 1 5.4
11 128907 9 0 0.3
38 146039 2 1 0.9
7 137777 12 1 0.7
34 265113 2 0 2.4
19 169854 3 0 2.1
11 255024 0 1 0.9
19 180855 5 1 3.3
38 71176 9 0 0.8
30 70692 13 0 0.6
38 249551 4 0 0.5
26 257961 5 0 0.7
36 137453 5 0 0.1
25 41821 39 0 0
23 92748 9 0 2.5
39 99989 13 1 3.1
17 88999 1 0 1.3
37 136746 12 0 0.2
38 186666 8 1 2.2
31 338889 6 0 0.5
34 77837 15 1 0.5
25 337341 9 1 4.3
37 131936 6 0 3
20 289688 6 1 1
3 126406 13 0 1.5
20 171543 12 0 2.9
32 155770 2 0 3.3
20 120431 9 0 0.3
9 128952 19 0 1.3
5 112411 9 0 0.6
37 181306 6 0 2.7
23 113549 8 1 1.2
1 109466 2 0 2.2
35 155475 9 0 0.6
40 187240 12 0 0.1
39 104634 17 0 0.7
39 360462 9 0 1.6
12 103039 4 1 0.3
16 157211 16 0 1.6
39 189151 9 0 0.6
