sb gpa sat
1 4 1279
0 2.28 551
0 3.01 1277
0 2.99 714
1 3.48 1250
0 2.97 858
1 3.33 1129
0 3.08 1091
1 3.29 966
0 2.91 1250
1 3.71 1151
1 3.12 1087
1 3.22 1268
0 2.45 1037
1 3.37 1593
0 1.65 1113
1 2.56 1102
1 3.01 934
0 2.69 1046
1 2.56 830
1 3.48 1598
0 4 1361
0 2.64 1125
1 3.21 1220
0 2.22 716
0 2.65 837
1 2.99 871
1 3.3 1405
0 2.43 857
1 3.98 1331
0 3.58 1268
1 2.84 1241
1 3.11 785
0 2.02 1071
0 2.5 1100
1 2.91 1126
0 3.02 1212
1 3.07 764
0 2.7 1191
0 2.73 1296
0 2.26 934
0 2.54 749
0 2.54 664
1 2.93 746
0 3.34 1127
1 3.85 1416
0 2.82 907
1 3.34 1086
0 2.46 726
1 3.1 1600
0 2.84 1244
1 3.98 1156
0 1.94 901
1 2.51 1028
1 3.12 772
1 2.79 786
1 2.95 903
1 3.51 1189
0 2.59 973
1 3.19 1184
1 2.92 1115
1 2.83 792
1 2.51 1031
0 2.98 1417
1 3.49 1160
0 2.98 842
1 3.18 1294
1 3.2 1374
0 3.01 1223
0 3.04 1249
1 2.56 1112
0 1.91 778
0 2.29 717
1 3.7 1408
1 3.53 1219
0 3.42 1167
1 3.87 1555
1 3.24 1313
0 2.6 940
0 2.66 1222
1 2.84 771
0 2.36 870
0 2.6 971
0 2.38 797
0 2.78 978
0 2.16 764
0 2.71 989
0 2.55 1125
1 3.26 1257
1 3.04 1163
0 2.91 1140
0 1.85 841
0 2 690
0 2.54 821
1 4 1375
1 2.47 633
1 2.86 1178
0 3.02 1207
0 2.7 1005
0 3.47 1095
