grade hours score
2 14.52 79
3 27 96
5 25.72 131
4 20.28 98
2 11.64 73
5 24.76 138
3 12.92 98
2 26.68 65
4 31.16 101
4 19.96 117
4 22.52 102
3 9.4 119
2 12.28 93
1 11.64 44
2 18.68 68
1 12.92 70
2 22.2 72
3 16.76 106
2 11.96 78
1 5.56 70
1 7.16 51
5 22.52 130
3 11.64 85
4 17.08 128
3 6.84 110
5 19.64 146
3 15.16 97
2 24.44 80
2 7.8 88
2 16.76 68
3 27.96 78
5 26.36 123
4 22.52 112
2 9.4 66
5 26.04 129
3 26.68 92
4 14.2 120
5 19 143
5 22.84 109
1 17.4 53
5 19.96 138
5 33.4 139
1 9.4 53
5 31.16 124
4 15.16 116
