"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 121 22 74 223 54 254 1
"2" 108 30 80 175 40 300 1
"3" 122 49 87 266 41 223 1
"4" 77 37 66 178 80 209 1
"5" 140 35 71 175 38 261 1
"6" 108 37 57 241 59 245 1
"7" 124 39 52 194 72 242 1
"8" 130 34 89 200 85 242 1
"9" 149 55 91 198 50 277 1
"10" 129 38 72 162 47 268 1
"11" 154 37 87 170 60 244 1
"12" 145 33 88 208 51 228 1
"13" 112 40 60 232 29 279 1
"14" 120 39 73 159 39 233 1
"15" 118 21 83 152 88 233 1
"16" 141 42 80 195 36 241 1
"17" 135 49 73 152 42 249 1
"18" 151 37 76 223 74 268 1
"19" 97 46 83 164 31 243 1
"20" 109 42 82 188 57 267 1
"21" 132 17 77 232 50 249 2
"22" 123 32 79 192 64 315 2
"23" 129 31 96 250 55 319 2
"24" 131 23 67 291 48 310 2
"25" 110 24 96 239 42 268 2
"26" 47 22 87 231 40 217 2
"27" 125 32 87 227 30 324 2
"28" 129 29 102 234 58 300 2
"29" 130 26 104 256 58 270 2
"30" 147 47 82 240 30 322 2
"31" 159 37 80 227 58 317 2
"32" 135 41 83 216 39 306 2
"33" 100 35 83 183 57 242 2
"34" 149 37 94 227 30 240 2
"35" 149 38 78 258 42 271 2
"36" 153 27 89 283 66 291 2
"37" 136 31 83 257 31 311 2
"38" 97 36 100 252 30 225 2
"39" 141 37 105 250 27 243 2
"40" 164 32 76 187 30 264 2
